item_name
Josh Allen
Tua Tagovailoa
Drake Maye
Justin Fields
Lamar Jackson
Joe Burrow
Deshaun Watson
Aaron Rodgers
C.J. Stroud
Daniel Jones
Trevor Lawrence
Cam Ward
Bo Nix
Patrick Mahomes
Geno Smith
Justin Herbert
Dak Prescott
Jaxson Dart
Jalen Hurts
Jayden Daniels
Caleb Williams
Jared Goff
Jordan Love
J.J. McCarthy
Michael Penix Jr.
Bryce Young
Tyler Shough
Baker Mayfield
Kyler Murray
Matthew Stafford
Brock Purdy
Sam Darnold
