item_name
Airheads
Reese's Pieces
Gobstopper
Sour Patch Kids
Hot Tamales
Sweet Tarts
Andes Mints
Lifesavers
3 Musketeers
Twizzlers
Jolly Ranchers
Swedish Fish
Tootsie Roll
Kit Kat
Smarties
York Peppermint Patty
Starburst
Reese's Peanut Butter Cup
Warheads
Snickers
Twix
Nerds
Milk Duds
Milky Way
Mike and Ike
Skittles
M&Ms
Whoppers
Heath
Laffy Taffy
Almond Joy
Hershey's
